Date,Name of State / UT,Death,Total Confirmed cases
2020-01-30,Kerala,0,1
2020-01-31,Kerala,0,1
2020-02-01,Kerala,0,2
2020-02-02,Kerala,0,3
2020-02-03,Kerala,0,3
2020-02-04,Kerala,0,3
2020-02-05,Kerala,0,3
2020-02-06,Kerala,0,3
2020-02-07,Kerala,0,3
2020-02-08,Kerala,0,3
2020-02-09,Kerala,0,3
2020-02-10,Kerala,0,3
2020-02-11,Kerala,0,3
2020-02-12,Kerala,0,3
2020-02-13,Kerala,0,3
2020-02-14,Kerala,0,3
2020-02-15,Kerala,0,3
2020-02-16,Kerala,0,3
2020-02-17,Kerala,0,3
2020-02-18,Kerala,0,3
2020-02-19,Kerala,0,3
2020-02-20,Kerala,0,3
2020-02-21,Kerala,0,3
2020-02-22,Kerala,0,3
2020-02-23,Kerala,0,3
2020-02-24,Kerala,0,3
2020-02-25,Kerala,0,3
2020-02-26,Kerala,0,3
2020-02-27,Kerala,0,3
2020-02-28,Kerala,0,3
2020-02-29,Kerala,0,3
2020-03-01,Kerala,0,3
2020-03-02,Delhi,0,1
2020-03-02,Kerala,0,3
2020-03-02,Telengana,0,1
2020-03-03,Delhi,0,1
2020-03-03,Kerala,0,3
2020-03-03,Rajasthan,0,0
2020-03-03,Telengana,0,1
2020-03-04,Delhi,0,1
2020-03-04,Haryana,0,14
2020-03-04,Kerala,0,3
2020-03-04,Rajasthan,0,1
2020-03-04,Telengana,0,1
2020-03-04,Uttar Pradesh,0,6
2020-03-05,Delhi,0,2
2020-03-05,Haryana,0,14
2020-03-05,Kerala,0,3
2020-03-05,Rajasthan,0,1
2020-03-05,Telengana,0,1
2020-03-05,Uttar Pradesh,0,7
2020-03-06,Delhi,0,3
2020-03-06,Haryana,0,14
2020-03-06,Kerala,0,3
2020-03-06,Rajasthan,0,1
2020-03-06,Telengana,0,1
2020-03-06,Uttar Pradesh,0,7
2020-03-07,Delhi,0,3
2020-03-07,Haryana,0,14
2020-03-07,Kerala,0,3
2020-03-07,Rajasthan,0,1
2020-03-07,Tamil Nadu,0,1
2020-03-07,Telengana,0,1
2020-03-07,Union Territory of Ladakh,0,2
2020-03-07,Uttar Pradesh,0,7
2020-03-08,Delhi,0,3
2020-03-08,Haryana,0,14
2020-03-08,Kerala,0,8
2020-03-08,Rajasthan,0,1
2020-03-08,Tamil Nadu,0,1
2020-03-08,Telengana,0,1
2020-03-08,Union Territory of Ladakh,0,2
2020-03-08,Uttar Pradesh,0,7
2020-03-09,Delhi,0,4
2020-03-09,Haryana,0,14
2020-03-09,Karnataka,0,1
2020-03-09,Kerala,0,9
2020-03-09,Maharashtra,0,2
2020-03-09,Punjab,0,1
2020-03-09,Rajasthan,0,1
2020-03-09,Tamil Nadu,0,1
2020-03-09,Telengana,0,1
2020-03-09,Union Territory of Jammu and Kashmir,0,1
2020-03-09,Union Territory of Ladakh,0,2
2020-03-09,Uttar Pradesh,0,7
2020-03-10,Delhi,0,4
2020-03-10,Haryana,0,14
2020-03-10,Karnataka,0,4
2020-03-10,Kerala,0,15
2020-03-10,Maharashtra,0,5
2020-03-10,Punjab,0,1
2020-03-10,Rajasthan,0,1
2020-03-10,Tamil Nadu,0,1
2020-03-10,Telengana,0,1
2020-03-10,Union Territory of Jammu and Kashmir,0,1
2020-03-10,Union Territory of Ladakh,0,2
2020-03-10,Uttar Pradesh,0,7
2020-03-11,Delhi,0,5
2020-03-11,Haryana,0,14
2020-03-11,Karnataka,0,4
2020-03-11,Kerala,0,17
2020-03-11,Maharashtra,0,10
2020-03-11,Punjab,0,1
2020-03-11,Rajasthan,0,3
2020-03-11,Tamil Nadu,0,1
2020-03-11,Telengana,0,1
2020-03-11,Union Territory of Jammu and Kashmir,0,1
2020-03-11,Union Territory of Ladakh,0,2
2020-03-11,Uttar Pradesh,0,9
2020-03-12,Andhra Pradesh,0,1
2020-03-12,Delhi,0,6
2020-03-12,Haryana,0,14
2020-03-12,Karnataka,1,4
2020-03-12,Kerala,0,17
2020-03-12,Maharashtra,0,11
2020-03-12,Punjab,0,1
2020-03-12,Rajasthan,0,3
2020-03-12,Tamil Nadu,0,1
2020-03-12,Telengana,0,1
2020-03-12,Union Territory of Jammu and Kashmir,0,1
2020-03-12,Union Territory of Ladakh,0,3
2020-03-12,Uttar Pradesh,0,11
2020-03-13,Andhra Pradesh,0,1
2020-03-13,Delhi,0,6
2020-03-13,Haryana,0,14
2020-03-13,Karnataka,1,5
2020-03-13,Kerala,0,17
2020-03-13,Maharashtra,0,11
2020-03-13,Punjab,0,1
2020-03-13,Rajasthan,0,3
2020-03-13,Tamil Nadu,0,1
2020-03-13,Telengana,0,1
2020-03-13,Union Territory of Jammu and Kashmir,0,1
2020-03-13,Union Territory of Ladakh,0,3
2020-03-13,Uttar Pradesh,0,11
2020-03-14,Andhra Pradesh,0,1
2020-03-14,Delhi,1,7
2020-03-14,Haryana,0,14
2020-03-14,Karnataka,1,6
2020-03-14,Kerala,0,19
2020-03-14,Maharashtra,0,14
2020-03-14,Punjab,0,1
2020-03-14,Rajasthan,0,3
2020-03-14,Tamil Nadu,0,1
2020-03-14,Telengana,0,1
2020-03-14,Union Territory of Jammu and Kashmir,0,2
2020-03-14,Union Territory of Ladakh,0,3
2020-03-14,Uttar Pradesh,0,12
2020-03-15,Andhra Pradesh,0,1
2020-03-15,Delhi,1,7
2020-03-15,Haryana,0,14
2020-03-15,Karnataka,1,6
2020-03-15,Kerala,0,23
2020-03-15,Maharashtra,0,32
2020-03-15,Punjab,0,1
2020-03-15,Rajasthan,0,4
2020-03-15,Tamil Nadu,0,1
2020-03-15,Telengana,0,3
2020-03-15,Union Territory of Jammu and Kashmir,0,2
2020-03-15,Union Territory of Ladakh,0,3
2020-03-15,Uttar Pradesh,0,13
2020-03-15,Uttarakhand,0,1
2020-03-16,Andhra Pradesh,0,1
2020-03-16,Delhi,1,7
2020-03-16,Haryana,0,14
2020-03-16,Karnataka,1,6
2020-03-16,Kerala,0,23
2020-03-16,Maharashtra,0,32
2020-03-16,Odisha,0,1
2020-03-16,Punjab,0,1
2020-03-16,Rajasthan,0,4
2020-03-16,Tamil Nadu,0,1
2020-03-16,Telengana,0,3
2020-03-16,Union Territory of Jammu and Kashmir,0,3
2020-03-16,Union Territory of Ladakh,0,4
2020-03-16,Uttar Pradesh,0,13
2020-03-16,Uttarakhand,0,1
2020-03-17,Andhra Pradesh,0,1
2020-03-17,Delhi,1,8
2020-03-17,Haryana,0,15
2020-03-17,Karnataka,1,11
2020-03-17,Kerala,0,26
2020-03-17,Maharashtra,1,39
2020-03-17,Odisha,0,1
2020-03-17,Punjab,0,1
2020-03-17,Rajasthan,0,4
2020-03-17,Tamil Nadu,0,1
2020-03-17,Telengana,0,5
2020-03-17,Union Territory of Jammu and Kashmir,0,3
2020-03-17,Union Territory of Ladakh,0,6
2020-03-17,Uttar Pradesh,0,15
2020-03-17,Uttarakhand,0,1
2020-03-18,Andhra Pradesh,0,1
2020-03-18,Delhi,1,10
2020-03-18,Haryana,0,17
2020-03-18,Karnataka,1,11
2020-03-18,Kerala,0,27
2020-03-18,Maharashtra,1,42
2020-03-18,Odisha,0,1
2020-03-18,Puducherry,0,1
2020-03-18,Punjab,0,1
2020-03-18,Rajasthan,0,4
2020-03-18,Tamil Nadu,0,1
2020-03-18,Telengana,0,6
2020-03-18,Union Territory of Jammu and Kashmir,0,3
2020-03-18,Union Territory of Ladakh,0,8
2020-03-18,Uttar Pradesh,0,16
2020-03-18,Uttarakhand,0,1
2020-03-18,West Bengal,0,1
2020-03-19,Andhra Pradesh,0,2
2020-03-19,Chhattisgarh,0,1
2020-03-19,Delhi,1,12
2020-03-19,Haryana,0,17
2020-03-19,Karnataka,1,14
2020-03-19,Kerala,0,27
2020-03-19,Maharashtra,1,47
2020-03-19,Odisha,0,1
2020-03-19,Puducherry,0,1
2020-03-19,Punjab,1,2
2020-03-19,Rajasthan,0,7
2020-03-19,Tamil Nadu,0,2
2020-03-19,Telengana,0,6
2020-03-19,Union Territory of Chandigarh,0,1
2020-03-19,Union Territory of Jammu and Kashmir,0,4
2020-03-19,Union Territory of Ladakh,0,8
2020-03-19,Uttar Pradesh,0,19
2020-03-19,Uttarakhand,0,1
2020-03-19,West Bengal,0,1
2020-03-20,Andhra Pradesh,0,2
2020-03-20,Chhattisgarh,0,1
2020-03-20,Delhi,1,17
2020-03-20,Gujarat,0,2
2020-03-20,Haryana,0,17
2020-03-20,Karnataka,1,15
2020-03-20,Kerala,0,28
